,h5_path,sim_folder,param_folder,type,rbm,x0,y0,sigma,t_dec,dist,lam_psi,D_psi,v0,lam_p,D_p,gamma,alpha,rq,mu,dpsi,seed,Nb,area_psi,area_q,max_psi,has_diff
1932,outputs/differentiation_sweep/dist_pol_sig_9.5_rbm_0.5_x0_25.0_dpsi_30.0/sim_data_20260610_162318/data.h5,sim_data_20260610_162318,dist_pol_sig_9.5_rbm_0.5_x0_25.0_dpsi_30.0,pol,0.5,25.0,25.0,9.5,50.0,pol,1.0,30.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,,1753293078,278.7213040444682,3.3306690738754696e-14,0.0,-0.9999999999999334,False
1937,outputs/differentiation_sweep/dist_pol_sig_2.5_rbm_0.5_x0_25.0_dpsi_30.0/sim_data_20260610_123841/data.h5,sim_data_20260610_123841,dist_pol_sig_2.5_rbm_0.5_x0_25.0_dpsi_30.0,pol,0.5,25.0,25.0,2.5,50.0,pol,1.0,30.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,,618357391,19.634954084936208,3.3306690738754696e-14,0.0,-0.9999999999999334,False
1944,outputs/differentiation_sweep/dist_pol_sig_20.0_rbm_0.2_x0_25.0_dpsi_30.0/sim_data_20260612_121528/data.h5,sim_data_20260612_121528,dist_pol_sig_20.0_rbm_0.2_x0_25.0_dpsi_30.0,pol,0.2,25.0,25.0,20.0,50.0,pol,1.0,30.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,,1612037393,312.66412212482277,5.4567461660326444e-14,0.0,-0.9999999999998909,False
1973,outputs/differentiation_sweep/dist_pol_sig_6.5_rbm_0.7_x0_25.0_dpsi_30.0/sim_data_20260610_125155/data.h5,sim_data_20260610_125155,dist_pol_sig_6.5_rbm_0.7_x0_25.0_dpsi_30.0,pol,0.7,25.0,25.0,6.5,50.0,pol,1.0,30.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,,1429020784,185.78027058563578,3.3306690738754696e-14,0.0,-0.9999999999999334,False
1974,outputs/differentiation_sweep/dist_pol_sig_13.0_rbm_0.8_x0_25.0_dpsi_30.0/sim_data_20260610_205456/data.h5,sim_data_20260610_205456,dist_pol_sig_13.0_rbm_0.8_x0_25.0_dpsi_30.0,pol,0.8,25.0,25.0,13.0,50.0,pol,1.0,30.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,,1975956301,759.4155430224528,0.9999999999999735,0.0,0.9999999999999525,True
1985,outputs/differentiation_sweep/dist_pol_sig_13.0_rbm_0.2_x0_25.0_dpsi_30.0/sim_data_20260610_203831/data.h5,sim_data_20260610_203831,dist_pol_sig_13.0_rbm_0.2_x0_25.0_dpsi_30.0,pol,0.2,25.0,25.0,13.0,50.0,pol,1.0,30.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,,507078582,189.8538857556132,3.3306690738754696e-14,0.0,-0.9999999999999334,False
1987,outputs/differentiation_sweep/dist_pol_sig_13.5_rbm_0.7_x0_25.0_dpsi_30.0/sim_data_20260610_213804/data.h5,sim_data_20260610_213804,dist_pol_sig_13.5_rbm_0.7_x0_25.0_dpsi_30.0,pol,0.7,25.0,25.0,13.5,50.0,pol,1.0,30.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,,116634845,702.1424275185107,0.9999999999999731,0.0,0.9999999999999507,True
1996,outputs/differentiation_sweep/dist_pol_sig_15.0_rbm_1.0_x0_25.0_dpsi_30.0/sim_data_20260612_121525/data.h5,sim_data_20260612_121525,dist_pol_sig_15.0_rbm_1.0_x0_25.0_dpsi_30.0,pol,1.0,25.0,25.0,15.0,50.0,pol,1.0,30.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,,1406932185,1156.335949497043,0.9999999999999585,0.0,0.9999999999999273,True
1997,outputs/differentiation_sweep/dist_pol_sig_15.0_rbm_1.0_x0_25.0_dpsi_30.0/sim_data_20260610_233906/data.h5,sim_data_20260610_233906,dist_pol_sig_15.0_rbm_1.0_x0_25.0_dpsi_30.0,pol,1.0,25.0,25.0,15.0,50.0,pol,1.0,30.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,,237808523,1156.3053577400713,0.9999999999999747,0.0,0.9999999999999556,True
2009,outputs/differentiation_sweep/dist_pol_sig_7.0_rbm_0.1_x0_25.0_dpsi_30.0/sim_data_20260610_130640/data.h5,sim_data_20260610_130640,dist_pol_sig_7.0_rbm_0.1_x0_25.0_dpsi_30.0,pol,0.1,25.0,25.0,7.0,50.0,pol,1.0,30.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,,665585626,30.765623639986845,3.3306690738754696e-14,0.0,-0.9999999999999334,False
2010,outputs/differentiation_sweep/dist_pol_sig_10.0_rbm_0.6_x0_25.0_dpsi_30.0/sim_data_20260610_170740/data.h5,sim_data_20260610_170740,dist_pol_sig_10.0_rbm_0.6_x0_25.0_dpsi_30.0,pol,0.6,25.0,25.0,10.0,50.0,pol,1.0,30.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,,2106585579,367.67171699577887,3.3306690738754696e-14,0.0,-0.9999999999999334,False
2012,outputs/differentiation_sweep/dist_pol_sig_20.0_rbm_0.7_x0_25.0_dpsi_30.0/sim_data_20260612_124407/data.h5,sim_data_20260612_124407,dist_pol_sig_20.0_rbm_0.7_x0_25.0_dpsi_30.0,pol,0.7,25.0,25.0,20.0,50.0,pol,1.0,30.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,,1625824411,1094.3244274368794,0.9999999999999583,0.0,0.9999999999999192,True
2013,outputs/differentiation_sweep/dist_pol_sig_7.5_rbm_0.7_x0_25.0_dpsi_30.0/sim_data_20260610_140635/data.h5,sim_data_20260610_140635,dist_pol_sig_7.5_rbm_0.7_x0_25.0_dpsi_30.0,pol,0.7,25.0,25.0,7.5,50.0,pol,1.0,30.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,,262501055,246.97412332160394,3.3306690738754696e-14,0.0,-0.9999999999999334,False
2018,outputs/differentiation_sweep/dist_pol_sig_12.0_rbm_0.1_x0_25.0_dpsi_30.0/sim_data_20260610_192247/data.h5,sim_data_20260610_192247,dist_pol_sig_12.0_rbm_0.1_x0_25.0_dpsi_30.0,pol,0.1,25.0,25.0,12.0,50.0,pol,1.0,30.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,,164159889,83.86310640019886,3.3306690738754696e-14,0.0,-0.9999999999999334,False
2032,outputs/differentiation_sweep/dist_pol_sig_20.0_rbm_0.5_x0_25.0_dpsi_30.0/sim_data_20260612_123000/data.h5,sim_data_20260612_123000,dist_pol_sig_20.0_rbm_0.5_x0_25.0_dpsi_30.0,pol,0.5,25.0,25.0,20.0,50.0,pol,1.0,30.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,,1107508890,781.6603053120567,0.9999999999999554,0.0,0.9999999999999127,True
2044,outputs/differentiation_sweep/dist_pol_sig_1.0_rbm_0.8_x0_25.0_dpsi_30.0/sim_data_20260610_110626/data.h5,sim_data_20260610_110626,dist_pol_sig_1.0_rbm_0.8_x0_25.0_dpsi_30.0,pol,0.8,25.0,25.0,1.0,50.0,pol,1.0,30.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,,961834826,5.026548245743669,3.3306690738754696e-14,0.0,-0.9999999999999334,False
